toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
1321.01,195199644,FP,20h54m08.75s,3135364750,+37d47m21.68s,377893560,17100000,39,-39,0,-3480000,49,-49,0,24587122597100,2300,-2300,0,11988800,2500,-2500,0,15580000,2060000,-2060000,0,11690300000,18816800,-18816800,0,205525000,15954300,-15954300,0,36949600000,,,,21720000000,,,,100849000,15,-15,0,11393200000,366150000,-366150000,0,73150000000,2438000000,-2438000000,0,,,,0,54600000,3600000,-3600000,0,2019-10-17 00:30:12,2021-10-29 12:59:15
1322.01,240450679,APC,21h34m06.57s,3235273610,+46d55m54.39s,469317740,13960000,63,-63,0,-33400000,66,-66,0,24587114496900,1040,-1040,0,33764400,3100,-3100,0,14370000,2630000,-2630000,0,57912000000,135921000,-135921000,0,,,,0,10592600000,,,,15890000000,,,,100819000,10,-10,0,7137250000,186495000,-186495000,0,86397000000,4757000000,-4757000000,0,39600000,700000,-700000,0,,,,0,2019-10-17 00:30:12,2022-07-20 12:03:42
1323.01,256886630,FP,21h57m32.42s,3293850670,+41d26m58.23s,414495090,80260000,49,-49,0,-290000,53,-53,0,24587132005900,5970,-5970,0,20390500,11600,-11600,0,22600000,9480000,-9480000,0,4300000000,105726000,-105726000,0,64230700,9746620,-9746620,0,263948000000,,,,35500000000,,,,82661800,6,-6,0,3014210000,31480000,-31480000,0,90030000000,1887000000,-1887000000,0,39400000,700000,-700000,0,26800000,700000,-700000,0,2019-10-17 00:30:12,2021-10-29 12:59:15
1324.01,266688542,FP,21h24m05.71s,3210238100,+46d23m04.82s,463846730,-118340000,52,-52,0,-159420000,50,-50,0,24603892302140,3066,-3066,0,29424142,89,-89,0,40730000,8260000,-8260000,0,14000000000,12279900000,-12279900000,0,97096800,24799400,-24799400,0,235951000000,,,,34520000000,,,,101894000,8,-8,0,3397360000,39305000,-39305000,0,68540000000,3479000000,-3479000000,0,41000000,1000000,-1000000,0,17900000,700000,-700000,0,2019-10-17 00:30:12,2024-05-16 10:08:02
1325.01,274942910,FP,21h31m42.38s,3229265700,+41d47m50.87s,417974650,1722020000,42,-42,0,1080430000,47,-47,0,24603935525550,1073,-1073,0,10793011,14,-14,0,21960000,3110000,-3110000,0,15620000000,7140810000,-7140810000,0,33111600,6481030,-6481030,0,77360500000,,,,26120000000,,,,99809000,6,-6,0,524946000,719000,-719000,0,43493000000,1141000000,-1141000000,0,46200000,1000000,-1000000,0,6700000,600000,-600000,0,2019-10-17 00:30:12,2024-05-16 10:08:02
1326.01,275111900,FP,21h32m49.64s,3232068510,+39d04m19.91s,390721960,-69000000,1600,-1600,0,-84000000,1700,-1700,0,24598230910160,253,-253,0,80428575,30,-30,0,95040000,710000,-710000,0,187300000000,1924210000,-1924210000,0,,,,0,67185300000,,,,25220000000,,,,86746000,6,-6,0,2855870000,,,0,82860000000,1790000000,-1790000000,0,,,,0,,,,0,2019-10-17 00:30:12,2023-08-14 16:02:02
1327.01,312083267,APC,20h13m10.85s,3032952230,+36d43m31.75s,367254850,6840000,59,-59,0,-5930000,61,-61,0,24605538910460,747,-747,0,39392211,33,-33,0,23790000,4590000,-4590000,0,14680000000,16016000000,-16016000000,0,276744000,60033500,-60033500,0,117797000000,,,,29020000000,,,,83818900,6,-6,0,4577920000,77860000,-77860000,0,87150000000,4080000000,-4080000000,0,35500000,800000,-800000,0,41200000,1300000,-1300000,0,2019-10-17 00:30:12,2024-11-14 10:08:02
1328.01,330332501,FP,21h00m26.49s,3151103660,+46d03m37.62s,460604490,-89400000,52,-52,0,-231700000,44,-44,0,24598197895190,4636,-4636,0,40157492,209,-209,0,27060000,4220000,-4220000,0,11500000000,949901000,-949901000,0,64721900,4640650,-4640650,0,6696100000,,,,14170000000,,,,103599000,30,-30,0,3979050000,49305000,-49305000,0,65850000000,2338000000,-2338000000,0,39400000,900000,-900000,0,20700000,900000,-900000,0,2019-10-17 00:30:12,2023-05-24 12:02:59
1329.01,345996087,FP,21h49m55.21s,3274800390,+44d04m48.22s,440800600,-86220000,45,-45,0,-168640000,47,-47,0,24587127232200,8080,-8080,0,20197600,17900,-17900,0,33940000,6140000,-6140000,0,39638500000,5162980000,-5162980000,0,73626000,5175270,-5175270,0,59266900000,,,,24440000000,,,,102835000,6,-6,0,3986270000,46730000,-46730000,0,72746000000,1097000000,-1097000000,0,41800000,800000,-800000,0,17200000,500000,-500000,0,2019-10-17 00:30:12,2021-10-29 12:59:15
133.01,219338557,PC,23h37m35.37s,3543973740,-58d57m18.28s,-589550780,1966380000,43,-43,0,-1025450000,44,-44,0,24583272802730,1512,-1512,0,81995368,168,-168,0,21168277,2808563,-2808563,0,9033694431,621661220,-621661220,0,19226211,14381217,-14381217,0,262353114,,,,5772199136,,,,99762000,6,-6,0,486326000,634500,-634500,0,40280000000,1700000000,-1700000000,0,45590200,2011080,-2011080,0,6505330,558995,-558995,0,2018-09-05 18:51:57,2024-04-25 10:08:01
1330.01,357457104,FP,21h02m09.82s,3155408960,+45d46m32.67s,457757410,,,,,,,,,24598521489770,3152,-3152,0,17480540,61,-61,0,21220000,3800000,-3800000,0,6700000000,448055000,-448055000,0,,,,0,,,,,,,,,95210000,136,-136,0,,,,0,,,,0,,,,0,,,,0,2019-10-17 00:30:12,2023-02-06 10:10:02
1331.01,387664866,FP,21h34m11.67s,3235486270,+50d28m53.2s,504814450,2240000,52,-52,0,-129080000,46,-46,0,24587125175800,4580,-4580,0,26564600,10900,-10900,0,24750000,3550000,-3550000,0,7733690000,25329800,-25329800,0,121711000,7914070,-7914070,0,9480660000,,,,15450000000,,,,90840900,6,-6,0,4026610000,49270000,-49270000,0,61354000000,949000000,-949000000,0,34000000,1100000,-1100000,0,39800000,1200000,-1200000,0,2019-10-17 00:30:12,2021-10-29 12:59:15
1332.01,387664868,FP,21h34m12.09s,3235503560,+50d28m54.71s,504818650,-16800000,51,-51,0,30770000,47,-47,0,24587125136900,4980,-4980,0,26568800,12100,-12100,0,26150000,3420000,-3420000,0,19598800000,51630200,-51630200,0,,,,0,,,,,,,,,108823000,13,-13,0,6458410000,128410000,-128410000,0,,,,0,,,,0,,,,0,2019-10-17 00:30:12,2021-10-29 12:59:15
1333.01,395171208,CP,21h40m03.49s,3250145360,+48d24m24.36s,484067670,-98100000,50,-50,0,-105010000,46,-46,0,24598479683060,389,-389,0,47201912,23,-23,0,44160000,930000,-930000,0,67100000000,611500000,-611500000,0,152105000,6528010,-6528010,0,11128500000,,,,16090000000,,,,90352700,6,-6,0,2004920000,11950000,-11950000,0,66960000000,2406000000,-2406000000,0,40800000,900000,-900000,0,18000000,800000,-800000,0,2019-10-17 00:30:12,2022-12-05 16:02:02
1334.01,42123111,FP,20h08m52.82s,3022200690,+38d14m42.8s,382452210,3810000,55,-55,0,-18260000,66,-66,0,24586864671000,2630,-2630,0,40334900,4400,-4400,0,26840000,2770000,-2770000,0,15300000000,15161500,-15161500,0,234514000,,,0,55126800000,,,,24000000000,,,,95526000,17,-17,0,12762600000,575450000,-575450000,0,113480000000,1270000000,-1270000000,0,,,,0,63700000,,,0,2019-10-17 00:30:12,2021-10-29 12:59:15
1335.01,89759617,FP,20h06m15.52s,3015646850,+35d35m18.23s,355883960,14520000,89,-89,0,-21850000,98,-98,0,24598176594260,1969,-1969,0,33295394,116,-116,0,27700000,4000000,-4000000,0,26200000000,56733900,-56733900,0,143988000,9214820,-9214820,0,22380000000,,,,19160000000,,,,104806000,20,-20,0,6246390000,219720000,-219720000,0,79650000000,1943000000,-1943000000,0,39800000,800000,-800000,0,23500000,1100000,-1100000,0,2019-10-17 00:30:12,2022-10-03 10:10:02
1336.01,92783821,FP,20h12m04.16s,3030173180,+35d31m28.66s,355246280,-119690000,47,-47,0,-83810000,49,-49,0,24594420683340,2196,-2196,0,38615978,159,-159,0,16780000,3710000,-3710000,0,10200000000,1922790000,-1922790000,0,138394000,37771300,-37771300,0,23203200000,,,,19330000000,,,,102115000,17,-17,0,5242900000,81820000,-81820000,0,73960000000,1740000000,-1740000000,0,38900000,800000,-800000,0,24500000,900000,-900000,0,2019-10-17 00:30:12,2022-02-16 12:02:11
1337.01,160708862,KP,15h09m04.88s,2272703290,-42d42m17.88s,-427049660,-100110000,123,-123,0,-56530000,97,-97,0,24600879397190,350,-350,0,33448312,23,-23,0,33220000,830000,-830000,0,136260000000,2102260000,-2102260000,0,212012000,8155260,-8155260,0,44682100000,,,,22770000000,,,,98787000,6,-6,0,4276780000,110680000,-110680000,0,93640000000,1791000000,-1791000000,0,43200000,700000,-700000,0,17600000,700000,-700000,0,2019-10-29 00:00:00,2025-08-29 16:00:02
1338.01,260128333,CP,06h08m31.94s,921330960,-59d32m27.55s,-595409850,-122580000,37,-37,0,344050000,41,-41,0,24592382194900,5102,-5102,0,951740000,,,0,116316864,4795903,-4795903,0,26000616050,2123659200,-2123659200,0,78498891,7399995,-7399995,0,9938316,,,,2546525048,,,,114881000,6,-6,0,3990170000,31375000,-31375000,0,57232000000,570000000,-570000000,0,36000000,800000,-800000,0,15181100,699799,-699799,0,2019-10-29 00:00:00,2024-08-13 12:02:59
1339.01,269701147,CP,20h08m06.15s,3020256250,+66d51m01.08s,668503010,1502560000,44,-44,0,-639090000,47,-47,0,24606512669400,506,-506,0,88803281,56,-56,0,27100000,1310000,-1310000,0,12380000000,139249000,-139249000,0,32059400,1628350,-1628350,0,607382000,,,,7770000000,,,,82929000,6,-6,0,536089000,732000,-732000,0,55557000000,3137000000,-3137000000,0,44900000,800000,-800000,0,9200000,500000,-500000,0,2019-10-30 15:08:00,2025-07-23 10:08:02
1339.02,269701147,CP,20h08m06.15s,3020256250,+66d51m01.08s,668503010,1502560000,44,-44,0,-639090000,47,-47,0,24606123514500,1225,-1225,0,285804740,386,-386,0,45139977,898877,-898877,0,10813969430,137752520,-137752520,0,31455035,2142796,-2142796,0,208500726,,,,5450001759,,,,82929000,6,-6,0,536089000,732000,-732000,0,55557000000,3137000000,-3137000000,0,44900000,800000,-800000,0,9204350,463115,-463115,0,2019-10-30 15:08:00,2025-07-23 10:08:02
1339.03,269701147,CP,20h08m06.15s,3020256250,+66d51m01.08s,668503010,1502560000,44,-44,0,-639090000,47,-47,0,24606611277830,1934,-1934,0,383511223,697,-697,0,59120193,889969,-889969,0,10290917261,147218310,-147218310,0,32843583,1753467,-1753467,0,140868450,,,,4941094771,,,,82929000,6,-6,0,536089000,732000,-732000,0,55557000000,3137000000,-3137000000,0,44900000,800000,-800000,0,9204350,463115,-463115,0,2019-11-15 23:57:09,2025-07-23 10:08:02
134.01,234994474,CP,23h20m06.86s,3500285920,-60d03m56.62s,-600657290,-3199610000,102,-102,0,-1277810000,115,-115,0,24583260340320,566,-566,0,14015183,48,-48,0,11583061,3255069,-3255069,0,5937540922,428084560,-428084560,0,14616853,18385029,-18385029,0,1493747543,,,,8916389885,,,,92297800,7,-7,0,251496000,239000,-239000,0,37940000000,690000000,-690000000,0,46781200,632260,-632260,0,5970070,181500,-181500,0,2018-09-05 18:51:57,2024-10-01 10:08:01
1340.01,233681149,FP,17h21m27.55s,2603648100,+65d00m44.21s,650122810,-163600000,55,-55,0,946270000,62,-62,0,24586836896290,5049,-5049,0,85874668,49814,-49814,0,51458902,3955153,-3955153,0,19048131484,3407179600,-3407179600,0,53744721,9241127,-9241127,0,1520429498,,,,8955943008,,,,108037000,6,-6,0,2086870000,10720000,-10720000,0,59290000000,1248120000,-1248120000,0,44827500,787278,-787278,0,9875830,471407,-471407,0,2019-10-30 21:47:36,2021-10-29 12:59:15
1341.01,233390838,FP,20h06m14.22s,3015592620,+59d29m26.78s,594907710,-32280000,56,-56,0,-216120000,65,-65,0,24598205729940,910,-910,0,64474918,49,-49,0,26430000,2700000,-2700000,0,92700000000,56960900000,-56960900000,0,489878000,28609700,-28609700,0,7206010000,,,,14430000000,,,,95359100,6,-6,0,2365680000,15580000,-15580000,0,64776000000,1016000000,-1016000000,0,41300000,900000,-900000,0,16900000,700000,-700000,0,2019-10-30 21:47:36,2022-12-05 16:02:02
1342.01,256621916,FP,20h01m57.21s,3004883920,+60d14m46.92s,602463670,84000000,2300,-2300,0,-166000000,2200,-2200,0,24603525780930,475,-475,0,14136455,9,-9,0,14480000,2290000,-2290000,0,24270000000,52690200000,-52690200000,0,,,,0,51332600000,,,,23580000000,,,,104243000,7,-7,0,,,,0,58690000000,2533000000,-2533000000,0,,,,0,,,,0,2019-10-30 21:47:36,2024-04-22 10:08:02
1343.01,358631536,FP,21h10m18.11s,3175754590,+48d27m51.42s,484642820,36660000,280,-280,0,-12210000,135,-135,0,24605529409390,3334,-3334,0,34040139,123,-123,0,48370000,8750000,-8750000,0,9350000000,1138120000,-1138120000,0,53427900,7074460,-7074460,0,811234000000,,,,47010000000,,,,100062000,6,-6,0,4000340000,106390000,-106390000,0,96220000000,7562000000,-7562000000,0,43900000,1500000,-1500000,0,16500000,1900000,-1900000,0,2019-10-30 21:47:36,2024-10-11 10:08:01
1344.01,1400770435,FP,17h39m50.77s,2649615390,+56d04m44.31s,560789740,-49790000,38,-38,0,133710000,41,-41,0,24606378676820,4672,-4672,0,137432169,934,-934,0,27300000,4050000,-4050000,0,50460000000,56303400000,-56303400000,0,257481000,25945200,-25945200,0,1766710000,,,,10150000000,,,,88879700,6,-6,0,1211820000,2700000,-2700000,0,59415000000,1619000000,-1619000000,0,42300000,800000,-800000,0,14000000,100000,-100000,0,2019-10-30 21:47:36,2025-07-23 16:00:01
1345.01,160487753,PC,15h52m07.63s,2380318120,+74d24m24.27s,744067420,7190000,36,-36,0,111400000,35,-35,0,24587154594800,18110,-18110,0,84713400,48800,-48800,0,69890000,19410000,-19410000,0,5400000000,1858190000,-1858190000,0,169325000,,,0,34653500000,,,,21370000000,,,,108049000,7,-7,0,7889300000,115420000,-115420000,0,51460000000,1220000000,-1220000000,0,,,,0,48800000,,,0,2019-10-30 21:47:36,2021-10-29 12:59:15
