kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9896558,K01718.02,Kepler-937 c,CONFIRMED,CANDIDATE,9920,0,0,0,0,153348739000,49100,-49100,1905347000,15900,-15900,2610,1960,-2610,1220500,62100,-62100,3880000,35100,-35100,2.14,640,-340,377.0,,,4.78,4.32,-1.84,12.70,2,q1_q17_dr25_tce,6127.00,192.00,-213.00,4356,128,-192,1.0800,3200,-1720,294168820,46714611,15224
7697103,K03430.01,,CANDIDATE,CANDIDATE,7290,0,0,0,0,13924800500,1800,-1800,1420473200,9800,-9800,210,4260,-210,501600,28100,-28100,1950000,20200,-20200,0.90,110,-60,588.0,,,28.27,11.93,-6.36,11.20,1,q1_q17_dr25_tce,5271.00,141.00,-157.00,4669,28,-83,6480,850,-420,296382690,43386589,15712
9267996,K03431.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,19600140500,2380,-2380,1385631000,11700,-11700,9710,270,-6850,861300,31800,-31800,2820000,15000,-15000,02.08,590,-200,676.0,,,49.23,41.04,-13.46,19.70,1,q1_q17_dr25_tce,6003.00,161.00,-179.00,4507,48,-192,9320,2650,-880,285222560,45708740,13874
7045605,K07808.01,,FALSE POSITIVE,FALSE POSITIVE,1690,1,0,0,0,361526458000,81600,-81600,3393304000,13400,-13400,9710,100,-6740,694700,63300,-63300,5250000,46500,-46500,5.70,1710,-1400,410.0,,,6.67,6.11,-3.49,14.00,2,q1_q17_dr25_tce,7196.00,230.00,-316.00,4064,170,-170,1.9230,5760,-4710,295230290,42516079,13151
8738775,K03432.01,Kepler-1498 b,CONFIRMED,CANDIDATE,9960,0,0,0,0,48050687800,9970,-9970,1405140000,17000,-17000,1860,2670,-1860,799900,45000,-45000,2750000,21400,-21400,2.36,420,-780,564.0,,,23.90,11.75,-13.74,15.10,1,q1_q17_dr25_tce,5332.00,95.00,-63.00,4083,338,-113,1.4530,2600,-4830,284778110,44916779,15033
7093401,K03433.01,,CANDIDATE,CANDIDATE,9990,0,0,0,0,34084293510,582,-582,1520676600,1510,-1510,1.2800,320100,-10950,135210,7770,-7770,37500000,157000,-157000,36.05,10800,-4960,506.0,,,15.46,14.28,-5.29,28.70,1,q1_q17_dr25_tce,5252.00,174.00,-158.00,4428,143,-287,9220,2760,-1270,282346130,42608910,15417
7877818,K03816.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,9449426280,208,-208,1324517400,1770,-1770,1.2170,10.0700,-1560,630640,9100,-9100,12100000,17200,-17200,75.22,27800,-51600,1192.0,,,476.13,540.49,-433.99,81.10,2,q1_q17_dr25_tce,5092.00,168.00,-137.00,3689,848,-283,2.6640,9840,-18270,286286290,43615978,13819
5636642,K03817.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,933489066,"2,51","-2,51",1321018340,302,-302,1.2430,4380,-1610,141864,660,-660,143000000,47300,-47300,48.01,13300,-10900,1979.0,,,3648.49,3051.69,-1740.55,374.50,1,q1_q17_dr25_tce,5758.00,172.00,-189.00,4307,200,-200,1.0840,3010,-2460,296330840,40896259,16428
6515722,K03818.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,1908525084,"80,6","-80,6",1317757100,3470,-3470,150,4410,-150,416900,10200,-10200,2190000,9300,-9300,3.74,1220,-1220,3191.0,,,24558.81,24367.12,-15389.65,26.90,3,q1_q17_dr25_tce,9174.00,286.00,-430.00,4013,215,-176,2.4710,8090,-8090,289739170,41965271,11721
6679504,K07788.01,,FALSE POSITIVE,FALSE POSITIVE,200,1,0,0,0,798467681,"22,5","-22,5",1320462700,1720,-1720,3310,1.6030,-3310,86000,17900,-17900,1210000,16800,-16800,0.82,120,-80,1718.0,,,2064.49,998.62,-594.81,9.40,1,q1_q17_dr25_tce,5575.00,183.00,-166.00,4557,81,-90,7330,1040,-760,288009830,42149960,15890
